WochenDatum,Loginname,ProjektCode,PlanMinuten,IstMinuten
3/19/2018 12:00:00 AM,cis0344,COL-AKB-DIV,240,0
3/19/2018 12:00:00 AM,kni0383,COL-AKB-UPDATEUP,720,0
3/12/2018 12:00:00 AM,kni0383,COL-AKB-UPDATEUP,960,0
4/9/2018 12:00:00 AM,kni0383,COL-AKB-UPDATEUP,720,0
4/2/2018 12:00:00 AM,kni0383,COL-AKB-UPDATEUP,720,0
2/26/2018 12:00:00 AM,tdi0325,COL-KKG-DEVSUPPORT,1920,2430
3/26/2018 12:00:00 AM,tdi0325,COL-KKG-DEVSUPPORT,1920,0
4/9/2018 12:00:00 AM,tdi0325,COL-KKG-DEVSUPPORT,1920,0
4/2/2018 12:00:00 AM,tdi0325,COL-KKG-DEVSUPPORT,1920,0
2/26/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,615
3/5/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,180
3/12/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,0
3/19/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,0
3/26/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,0
4/2/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,0
4/2/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
4/9/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
4/9/2018 12:00:00 AM,bs0106,EBU-REKA-KA,960,0
2/26/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
3/5/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
3/12/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
3/26/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
3/19/2018 12:00:00 AM,cst0305,EBU-REKA-KA,480,0
3/19/2018 12:00:00 AM,mra0299,COL-SNF-KA,240,0
3/26/2018 12:00:00 AM,mra0299,COL-SNF-KA,240,0
4/2/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
4/9/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
3/26/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
3/19/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
3/12/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
3/5/2018 12:00:00 AM,pm0163,COL-ADMIN-INTERN,720,0
3/5/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
2/26/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,1440,0
4/9/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
4/9/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
4/2/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
3/19/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
3/26/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
3/12/2018 12:00:00 AM,bgr0317,COL-ADMIN-INTERN,720,0
3/26/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
3/19/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
3/12/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
2/26/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
3/5/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
4/2/2018 12:00:00 AM,nba0266,COL-ADMIN-INTERN,480,0
2/26/2018 12:00:00 AM,pm0163,COL-SUPO-W&S,1440,0
3/26/2018 12:00:00 AM,fkr0389,COL-SUPO-W&S,1440,0
3/12/2018 12:00:00 AM,bgr0317,COL-SUPO-W&S,1440,0
4/9/2018 12:00:00 AM,tlu0327,COL-SUPO-W&S,1440,0
3/5/2018 12:00:00 AM,tbu0328,COL-SUPO-W&S,1440,0
3/19/2018 12:00:00 AM,mos0361,COL-SUPO-W&S,1440,0
4/9/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,0
4/2/2018 12:00:00 AM,dhu0384,COL-SUPO-W&S,1440,0
3/5/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,740
2/26/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,1740
3/12/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,0
3/26/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,0
3/19/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,0
4/2/2018 12:00:00 AM,sat0376,COL-SUPO-W&S,1500,0
4/2/2018 12:00:00 AM,mis0331,EBU-FENAC-LANDI.CH-KA,240,0
3/19/2018 12:00:00 AM,mis0331,EBU-FENAC-LANDI.CH-KA,240,0
3/5/2018 12:00:00 AM,mis0331,EBU-FENAC-LANDI.CH-KA,240,135
3/12/2018 12:00:00 AM,mis0331,EBU-FENAC-LANDI.CH-KA,240,0
2/26/2018 12:00:00 AM,mis0331,EBU-FENAC-LANDI.CH-KA,240,2025
3/26/2018 12:00:00 AM,kni0383,COL-AKB-CMDB,720,0
3/19/2018 12:00:00 AM,kni0383,COL-AKB-CMDB,720,0
4/2/2018 12:00:00 AM,kni0383,COL-AKB-CMDB,720,0
4/9/2018 12:00:00 AM,kni0383,COL-AKB-CMDB,240,0
2/26/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1920,2040
3/5/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1920,390
3/12/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1560,0
3/19/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1920,0
3/26/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1500,0
4/2/2018 12:00:00 AM,jb0164,EBU-ELCA-MIL5,1160,0
3/26/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,1920,0
3/19/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,2400,0
3/12/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,1440,0
3/5/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,1200,480
4/9/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,2400,0
4/2/2018 12:00:00 AM,SEMO,EBU-ELCA-MIL5,1440,0
4/9/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,2400,0
3/5/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,2400,360
2/26/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,2400,2330
3/12/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,1920,0
3/19/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,2400,0
3/26/2018 12:00:00 AM,gisa,EBU-ELCA-MIL5,1920,0
